title,year,released_at,director,awards,imdb_votes
Little Einsteins,2005–2009,09-Oct-05,N/A,4 nominations.,"1,143"
Mighty Ducks,1996–1997,06-Sep-96,N/A,1 win & 3 nominations.,"1,155"
Recess,1997–2001,31-Aug-97,N/A,1 win & 13 nominations.,"21,355"
The Emperor's New School,2006–2008,27-Jan-06,N/A,4 wins & 3 nominations.,"3,977"
The Kid,2000,07-Jul-00,Jon Turteltaub,1 win & 3 nominations.,"39,194"
The Little Mermaid,1992–1994,11-Sep-92,N/A,12 nominations.,"3,701"
Disneyland Around the Seasons,1966,N/A,Hamilton Luske,N/A,N/A
African Cats,2011,22-Apr-11,"Keith Scholey, Alastair Fothergill(co-director)",3 nominations.,"6,043"
Bears,2014,18-Apr-14,"Alastair Fothergill, Keith Scholey, Adam Chapman(co-director)",2 nominations.,"6,262"
Born in China,2016,21-Apr-17,Chuan Lu,3 nominations.,"3,316"
Chimpanzee,2012,20-Apr-12,"Alastair Fothergill, Mark Linfield",2 nominations.,"5,708"
The Crimson Wing: Mystery of the Flamingos,2008,25-Sep-09,"Matthew Aeberhard, Leander Ward",1 win & 1 nomination.,"1,024"
Monkey Kingdom,2015,17-Apr-15,"Mark Linfield, Alastair Fothergill(co-director)",2 wins & 1 nomination.,"3,529"
Penguins,2019,17-Apr-19,"Alastair Fothergill, Jeff Wilson",1 nomination.,"1,093"
Disneynature: Wings of Life,2011,16-Apr-13,Louie Schwartzberg,N/A,442
Diving with Dolphins,2020,03-Apr-20,Keith Scholey,N/A,18
Doc McStuffins,2012–,23-Mar-12,N/A,11 wins & 31 nominations.,"1,734"
Doctor Dolittle,1998,26-Jun-98,Betty Thomas,4 wins & 11 nominations.,"89,150"
Dr. Dolittle 2,2001,22-Jun-01,Steve Carr,3 wins & 6 nominations.,"40,531"
Dog Whisperer with Cesar Millan,2004–2016,N/A,N/A,Nominated for 3 Primetime Emmys. Another 2 wins & 2 nominations.,"2,539"
Dog: Impossible,2019–,08-Sep-19,N/A,N/A,N/A
Dolphin Reef,2020,03-Apr-20,Keith Scholey,N/A,566
Don's Fountain of Youth,1953,30-May-53,Jack Hannah,N/A,376
Don't Look Under the Bed,1999,09-Oct-99,Kenneth Johnson,1 nomination.,"2,421"
Donald's Dog Laundry,1940,05-Apr-40,Jack King,N/A,572
Donald's Golf Game,1938,04-Nov-38,Jack King,N/A,764
Donald's Tire Trouble,1943,29-Jan-43,Dick Lundy,N/A,416
Double Dribble,1946,20-Dec-46,Jack Hannah,N/A,318
Double Teamed,2002,18-Jan-02,Duwayne Dunham,N/A,"2,820"
Doug's 1st Movie,1999,26-Mar-99,Maurice Joyce,1 nomination.,"2,868"
"Dr. Oakley, Yukon Vet",2014–,04-Apr-14,N/A,N/A,323
"Dr. T, Lone Star Vet",2019–,13-Oct-19,N/A,N/A,17
Dragon Around,1954,16-Jul-54,Jack Hannah,N/A,345
Drain Alcatraz,2017,19-Dec-17,Wayne Abbott,N/A,13
Drain the Bermuda Triangle,2014,07-Dec-14,Jobim Sampson,N/A,47
Drain the Great Lakes,2011,01-Dec-11,"Wayne Abbott, Crispin Sadler",N/A,10
Drain the Ocean: WWII,2016,19-Sep-16,Mike Slee,N/A,49
Drain the Oceans,2018–,01-May-18,N/A,1 win.,220
Drain the Sunken Pirate City,2017,N/A,Sophie Elwin-Harris,N/A,11
Drain the Titanic,2015,N/A,Jobim Sampson,N/A,41
DuckTales,2017–,12-Aug-17,N/A,2 wins & 12 nominations.,"5,051"
